发送时间：2020-11-17 20:01:15 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   an integer is required (got type str) 
 发送时间：2020-11-17 20:08:50 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   an integer is required (got type str) 
 发送时间：2020-11-17 20:11:48 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   an integer is required (got type str) 
 发送时间：2020-11-17 20:14:12 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   an integer is required (got type str) 
 发送时间：2020-11-17 20:15:29 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   an integer is required (got type str) 
 发送时间：2020-11-17 20:16:33 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   an integer is required (got type str) 
 发送时间：2020-11-17 20:17:15 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   HTTP Error 404: Not Found 
 发送时间：2020-11-17 20:24:59 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   HTTP Error 404: Not Found 
 发送时间：2020-11-17 20:27:42 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败，错误原因：   HTTP Error 403: Forbidden 
 发送时间：2020-11-17 20:29:54 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-17 20:32:54 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-19 14:15:38 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败。 错误原因：   <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
 发送时间：2020-11-19 14:16:59 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-19 14:17:54 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-19 14:23:32 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败。 错误原因：   HTTP Error 500: Internal Server Error 
 发送时间：2020-11-19 14:24:15 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-19 14:25:21 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-19 14:30:07 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：数据格式发生错误 
 发送时间：2020-11-19 14:30:46 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：发送失败。 错误原因：   HTTP Error 500: Internal Server Error 
 发送时间：2020-11-19 14:32:24 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：成功收到数据 
 发送时间：2020-11-19 15:10:37 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：资产已加入审批区 
 发送时间：2020-11-19 20:52:23 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：已存在该资产，且资产内容已更新 
 发送时间：2020-11-19 20:52:39 	 服务器地址：http://192.168.2.11:8000/asset/report/ 	 返回结果：已存在该资产，且资产内容已更新 
 
